week,observed_latency_ms,forecast_latency_ms,lower_95_ms,upper_95_ms
2025-01-06,452,,,
2025-01-13,467,,,
2025-01-20,441,,,
2025-01-27,486,,,
2025-02-03,474,,,
2025-02-10,493,,,
2025-02-17,512,,,
2025-02-24,501,,,
2025-03-03,529,,,
2025-03-10,548,,,
2025-03-17,536,,,
2025-03-24,571,,,
2025-03-31,559,,,
2025-04-07,588,,,
2025-04-14,601,,,
2025-04-21,579,,,
2025-04-28,615,,,
2025-05-05,628,,,
2025-05-12,612,,,
2025-05-19,651,,,
2025-05-26,675,668,628,708
2025-06-02,710,691,648,734
2025-06-09,620,679,634,724
2025-06-16,713,708,660,756
2025-06-23,810,734,684,784
2025-06-30,728,720,668,772
2025-07-07,,755,699,811
2025-07-14,,773,715,831
